open,high,low,close,volume,quote_volume,trades,close_datetime
63148.01,63191.92,63104.33,63104.34,190.79219,12050728.1101904,6310,2024-07-02 06:44:59.999000+02:00
63104.34,63123.85,63038.01,63038.01,115.6728,7298370.0016237,8261,2024-07-02 06:59:59.999000+02:00
63038.02,63047.38,63002.0,63024.75,74.57941,4699806.2048459,6178,2024-07-02 07:14:59.999000+02:00
63024.75,63076.23,63024.75,63070.01,67.94404,4284261.5482116,5040,2024-07-02 07:29:59.999000+02:00
63070.01,63094.73,63026.0,63050.18,59.21334,3733897.6073063,5618,2024-07-02 07:44:59.999000+02:00
63050.19,63050.19,63003.72,63024.0,63.99809,4033599.1615914,4672,2024-07-02 07:59:59.999000+02:00
63024.0,63048.86,62892.0,62935.88,125.86523,7926880.7802247,11962,2024-07-02 08:14:59.999000+02:00
62935.88,62975.84,62890.45,62892.01,112.49266,7079534.8539173,10098,2024-07-02 08:29:59.999000+02:00
62892.01,62917.81,62836.0,62914.04,122.87999,7725728.7559492,9837,2024-07-02 08:44:59.999000+02:00
62914.04,62930.76,62818.72,62866.0,337.13756,21196348.2212158,10820,2024-07-02 08:59:59.999000+02:00
62866.01,62880.0,62656.0,62690.0,328.38642,20597807.9409739,16435,2024-07-02 09:14:59.999000+02:00
62689.99,62740.0,62610.3,62682.25,243.49092,15261905.8198838,11421,2024-07-02 09:29:59.999000+02:00
62682.25,62722.97,62580.0,62607.36,256.68701,16075108.5799874,14736,2024-07-02 09:44:59.999000+02:00
62607.36,62667.08,62600.0,62629.99,193.85136,12141005.3221035,9951,2024-07-02 09:59:59.999000+02:00
62630.0,62701.87,62401.23,62476.17,482.94429,30210815.0890038,21826,2024-07-02 10:14:59.999000+02:00
62476.16,62746.55,62449.99,62686.01,384.15578,24066802.790345,16247,2024-07-02 10:29:59.999000+02:00
62686.01,62739.61,62645.46,62720.01,152.06251,9533989.2288519,11387,2024-07-02 10:44:59.999000+02:00
62720.0,62741.69,62666.4,62670.01,122.041,7652395.0966232,9382,2024-07-02 10:59:59.999000+02:00
62670.01,62795.68,62601.18,62741.07,520.70033,32628822.894516,14795,2024-07-02 11:14:59.999000+02:00
62741.07,62741.07,62657.8,62684.78,144.48146,9057945.7174003,9208,2024-07-02 11:29:59.999000+02:00
62684.78,62738.24,62640.18,62655.29,428.58718,26865541.0486189,12317,2024-07-02 11:44:59.999000+02:00
62655.29,62691.75,62618.54,62650.01,601.55656,37687670.1142912,21451,2024-07-02 11:59:59.999000+02:00
62650.01,62666.23,62485.63,62580.01,337.55125,21118812.9710127,16769,2024-07-02 12:14:59.999000+02:00
62580.01,62657.99,62564.82,62651.03,153.24334,9596050.9743961,8824,2024-07-02 12:29:59.999000+02:00
62651.02,62769.92,62626.01,62720.01,148.53965,9314029.8360902,10401,2024-07-02 12:44:59.999000+02:00
62720.01,62801.05,62700.85,62715.98,148.38454,9312224.6370882,8746,2024-07-02 12:59:59.999000+02:00
62715.98,62715.99,62655.0,62685.59,123.22542,7723431.1165902,10699,2024-07-02 13:14:59.999000+02:00
62686.33,62782.24,62616.28,62770.0,98.8241,6194694.0161955,10252,2024-07-02 13:29:59.999000+02:00
62770.0,62866.2,62759.46,62793.79,206.84437,12994788.6578205,14930,2024-07-02 13:44:59.999000+02:00
62793.79,62844.0,62766.22,62832.01,85.88836,5393538.9231188,8435,2024-07-02 13:59:59.999000+02:00
62832.01,62854.02,62723.79,62756.87,125.67743,7890430.8044624,8746,2024-07-02 14:14:59.999000+02:00
62756.87,62842.0,62752.0,62754.44,108.52789,6814283.4434878,8543,2024-07-02 14:29:59.999000+02:00
62754.44,62908.57,62754.43,62908.57,145.19235,9123321.0083864,14491,2024-07-02 14:44:59.999000+02:00
62908.57,63042.91,62835.67,62878.45,293.85814,18497480.9140443,15100,2024-07-02 14:59:59.999000+02:00
62878.45,62946.0,62830.0,62880.0,171.35964,10774341.3441464,11256,2024-07-02 15:14:59.999000+02:00
62880.0,62996.71,62848.01,62923.76,164.93719,10376940.8949615,10082,2024-07-02 15:29:59.999000+02:00
62923.76,63152.0,62705.01,62924.0,470.20662,29587261.5203227,32554,2024-07-02 15:44:59.999000+02:00
62924.0,62978.98,62517.81,62626.92,550.32026,34514964.2516234,34271,2024-07-02 15:59:59.999000+02:00
62626.92,62730.0,62333.0,62370.01,697.32021,43601668.4639617,34686,2024-07-02 16:14:59.999000+02:00
62370.01,62441.5,62215.23,62331.37,598.7275,37319639.1190608,30138,2024-07-02 16:29:59.999000+02:00
62330.18,62412.9,61867.29,61889.11,994.03567,61699340.9140524,49953,2024-07-02 16:44:59.999000+02:00
61889.12,62085.73,61870.0,62035.43,537.14287,33297491.0291458,30372,2024-07-02 16:59:59.999000+02:00
62035.43,62160.04,61996.07,62037.47,328.29136,20386794.129958,19077,2024-07-02 17:14:59.999000+02:00
62037.47,62086.65,61896.0,61966.01,221.71732,13751079.3476128,23126,2024-07-02 17:29:59.999000+02:00
61966.0,62084.0,61823.74,61995.75,313.45962,19422376.1464799,27546,2024-07-02 17:44:59.999000+02:00
61995.75,62088.53,61902.01,61948.08,245.81542,15246390.6819152,25862,2024-07-02 17:59:59.999000+02:00
61948.08,61972.11,61806.28,61890.56,304.06538,18817390.0567782,28364,2024-07-02 18:14:59.999000+02:00
61890.55,61941.12,61826.54,61888.02,234.62098,14516561.722646,21821,2024-07-02 18:29:59.999000+02:00
61888.02,61972.1,61856.01,61953.96,158.53391,9813908.8021585,14477,2024-07-02 18:44:59.999000+02:00
61953.96,62026.45,61908.0,61920.89,191.84984,11887808.9932022,23021,2024-07-02 18:59:59.999000+02:00
61920.9,61985.23,61888.0,61920.19,122.29124,7575898.6598105,15819,2024-07-02 19:14:59.999000+02:00
